"id","Test","RequestIdentifier","UIPrepaidCardNumber","UIDateOfBirth","PrepaidCardNumber","CustomerID","PrepaidCardStatus","DirectDepositEnrolled","PrepaidProgramPayFrequencyCode1","PrepaidProgramPayFrequencyCode2","OverDraftProductExists","CreditProductExists","FirstName","Middle Initial","LastName","HomePhone","WorkPhone","MobilePhone","Email","SMSEnrolled","MarketingOptIn","Address1","Address2","City","State","Zip","SSN","EmploymentStatus","EmployerName","EmployerPhone","UITakeHomePay","MonthlyIncome","RentOrOwn","MonthlyHousingPayment","PromoCode","SourceQueryString","IPAddress","AddressDifference","ApplicationID","Esignature","EmailEnrolled","Security Questions","ApplicationStatus","DistributionMethod","NoPreviousChargeOff","DirectDepositSource","Stated Paydate Frequency Code1","Stated Paydate Frequency Code2","Calc'd Paydate Frequency Code1","Calc'd Paydate Frequency Code2","Avg DD Amt 1","DD Count 1","DD Delinq 1","Advances 1","Avg Advance 1","Avg LOC 1","Avg DD Amt 1-6","DD Count 1-6","DD Delinq 1-6","Advances 1-6","Avg Advance 1-6","Avg LOC 1-6","Avg DD Amt 1-12","DD Count 1-12","DD Delinq 1-12","Advances 1-12","Avg Advance 1-12","Avg LOC 1-12","Avg DD Amt 1-24","DD Count 1-24","DD Delinq 1-24","Advances 1-24","Avg Advance 1-24","Avg LOC 1-24","Avg DD Amt 1-36","DD Count 1-36","DD Delinq 1-36","Advances 1-36","Avg Advance 1-36","Avg LOC 1-36","Avg DD Amt Total","DD Count Total","DD Delinq Total","Advances Total","Avg Advance Total","Avg LOC Total","# Transactions 1","# Cash Trans 1","Avg Cash Tran 1","Avg Transaction 1","# Loads 1","Avg Load 1","# Transactions 1-6","# Cash Trans 1-6","Avg Cash Tran 1-6","Avg Transaction 1-6","# Loads 1-6","Avg Load 1-6","# Transactions 1-12","# Cash Trans 1-12","Avg Cash Tran 1-12","Avg Transaction 1-12","# Loads 1-12","Avg Load 1-12","# Transactions 1-24","# Cash Trans 1-24","Avg Cash Tran 1-24","Avg Transaction 1-24","# Loads 1-24","Avg Load 1-24","# Transactions 1-36","# Cash Trans 1-36","Avg Cash Tran 1-36","Avg Transaction 1-36","# Loads 1-36","Avg Load 1-36","# Transactions Total","# Cash Trans Total","Avg Cash Tran Total","Avg Transaction Total","# Loads Total","Avg Load Total","NumConsecutiveGoodPayments","AbilityToPayCreditLine","CurrentDate","DateOpened","Days from DateOpened","Initial Tier","Initial Limit","Initial DDLevel","Initial # of Installments","Current Tier","Current Limit","Current DDLevel","Current # of Repayments","Current Block Code1","Current Block Code2","Change","New Tier","New Limit","New DDLevel","New # Repayments","New Block Code1","New Block Code2","NOAA Reason1","NOAA Reason2","NOAA Reason3","NOAA Reason4","Change","Tier","DDLevel","Repayments","LOC","Block Code 1","Block Code 2","NOAA Reason1","NOAA Reason2","NOAA Reason3","NOAA Reason4"
69,"Pending 1 DD - level 4","B","1234567812345678","1/2/1980","1234567812345678",11111111129,"Active","TRUE",61,75,"FALSE","FALSE","Joe",,"Blow",6051234567,,,"joeblow@sio.midco.net",,,"123 Main St",,"Sioux Falls","SD",57102,123456789,,,,1500,3000,"Rent",1000,,"http://www.blackhawknetwork.com","123.123.123",,1,"TRUE","TRUE",,"Submitted","PrepaidCard","TRUE",,61,75,61,75,,,,,,,749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1200,"6/9/2011",,,,,,,,,,,,,,,,,,,,,,,,"Approved",1,625,1,100,,,,,,
70,"Pending 1 DD - level 5","B","1234567812345678","1/2/1980","1234567812345678",11111111130,"Active","TRUE",61,75,"FALSE","FALSE","Joe",,"Blow",6051234567,,,"joeblow@sio.midco.net",,,"123 Main St",,"Sioux Falls","SD",57102,123456789,,,,1500,3000,"Rent",1000,,"http://www.blackhawknetwork.com","123.123.123",,1,"TRUE","TRUE",,"Submitted","PrepaidCard","TRUE",,61,75,61,75,,,,,,,750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1200,"6/9/2011",,,,,,,,,,,,,,,,,,,,,,,,"Approved",1,750,1,100,,,,,,
71,"Pending 1 DD - level 6","B","1234567812345678","1/2/1980","1234567812345678",11111111131,"Active","TRUE",61,75,"FALSE","FALSE","Joe",,"Blow",6051234567,,,"joeblow@sio.midco.net",,,"123 Main St",,"Sioux Falls","SD",57102,123456789,,,,1500,3000,"Rent",1000,,"http://www.blackhawknetwork.com","123.123.123",,1,"TRUE","TRUE",,"Submitted","PrepaidCard","TRUE",,61,75,61,75,,,,,,,1100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1200,"6/9/2011",,,,,,,,,,,,,,,,,,,,,,,,"Approved",1,1000,1,100,,,,,,
72,"Pending 1 DD - level 7","B","1234567812345678","1/2/1980","1234567812345678",11111111132,"Active","TRUE",61,75,"FALSE","FALSE","Joe",,"Blow",6051234567,,,"joeblow@sio.midco.net",,,"123 Main St",,"Sioux Falls","SD",57102,123456789,,,,1500,3000,"Rent",1000,,"http://www.blackhawknetwork.com","123.123.123",,1,"TRUE","TRUE",,"Submitted","PrepaidCard","TRUE",,61,75,61,75,,,,,,,1250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1200,"6/9/2011",,,,,,,,,,,,,,,,,,,,,,,,"Approved",1,1250,1,100,,,,,,
73,"Pending - No Change 2","B","6234567812345678","4/8/1984","6234567812345678",11111111160,"Active","TRUE",61,75,"FALSE","FALSE","Failed",,"Miserably",6050000000,,,"FailedMiserably@sio.midco.net",,,"000 Zero St",,"Sioux Falls","SD",57102,623456789,,,,1750,3500,"Rent",250,,"http://www.blackhawknetwork.com","123.123.123",,6,"TRUE","TRUE",,"Submitted","PrepaidCard","TRUE",,61,75,61,75,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,105,"6/9/2011",,,,,,,,,,,,,,,,,,,,,,,,"No Change",,,,,,,,,,
74,"Unsuspended - Other Block Code","B","1034567812345678","3/5/1990","1034567812345678",11111111121,"Active","TRUE",61,75,"FALSE","FALSE","Brain",,"Dead",6054222220,,,"BrainDead@sio.midco.net",,,"400 Fourth St",,"Sioux Falls","SD",57102,423456789,,,,600,1200,"Rent",600,,"http://www.blackhawknetwork.com","123.123.123",,4,"TRUE","TRUE",,"Submitted","PrepaidCard","TRUE",,61,75,61,75,,,,,,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,260,"6/9/2011",,,,,,,4,250,250,3,"L",,,,,,,,,,,,,"Unsuspended",4,250,3,250,,,,,,
75,"Block Code A","B","1034567812345678","3/5/1990","1034567812345678",11111111121,"Active","TRUE",61,75,"FALSE","FALSE","Brain",,"Dead",6054222220,,,"BrainDead@sio.midco.net",,,"400 Fourth St",,"Sioux Falls","SD",57102,423456789,,,,600,1200,"Rent",600,,"http://www.blackhawknetwork.com","123.123.123",,4,"TRUE","TRUE",,"Submitted","PrepaidCard","TRUE",,61,75,61,75,,,,,,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1200,"6/9/2011",,,,,,,2,100,250,1,,"A",,,,,,,,,,,,"Improved",3,250,2,150,,"A",,,,
76,"No Change - Other Block Code","B","1034567812345678","3/5/1990","1034567812345678",11111111121,"Active","TRUE",61,75,"FALSE","FALSE","Brain",,"Dead",6054222220,,,"BrainDead@sio.midco.net",,,"400 Fourth St",,"Sioux Falls","SD",57102,423456789,,,,600,1200,"Rent",600,,"http://www.blackhawknetwork.com","123.123.123",,4,"TRUE","TRUE",,"Submitted","PrepaidCard","TRUE",,61,75,61,75,,,,,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,500,"6/9/2011",,,,,,,4,250,250,3,"L",,,,,,,,,,,,,"No Change",3,250,2,250,"L",,,,,
77,"Block Code H","B","1034567812345678","3/5/1990","1034567812345678",11111111121,"Active","TRUE",61,75,"FALSE","FALSE","Brain",,"Dead",6054222220,,,"BrainDead@sio.midco.net",,,"400 Fourth St",,"Sioux Falls","SD",57102,423456789,,,,600,1200,"Rent",600,,"http://www.blackhawknetwork.com","123.123.123",,4,"TRUE","TRUE",,"Submitted","PrepaidCard","TRUE",,61,75,61,75,,,,,,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1200,"6/9/2011",,,,,,,2,100,250,1,"H",,,,,,,,,,,,,"Improved",3,250,2,150,"H",,,,,
78,"Block Code I","B","1034567812345678","3/5/1990","1034567812345678",11111111121,"Active","TRUE",61,75,"FALSE","FALSE","Brain",,"Dead",6054222220,,,"BrainDead@sio.midco.net",,,"400 Fourth St",,"Sioux Falls","SD",57102,423456789,,,,600,1200,"Rent",600,,"http://www.blackhawknetwork.com","123.123.123",,4,"TRUE","TRUE",,"Submitted","PrepaidCard","TRUE",,61,75,61,75,,,,,,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1200,"6/9/2011",,,,,,,2,100,250,1,"I",,,,,,,,,,,,,"Improved",3,250,2,150,"I",,,,,
79,"Block Code J","B","1034567812345678","3/5/1990","1034567812345678",11111111121,"Active","TRUE",61,75,"FALSE","FALSE","Brain",,"Dead",6054222220,,,"BrainDead@sio.midco.net",,,"400 Fourth St",,"Sioux Falls","SD",57102,423456789,,,,600,1200,"Rent",600,,"http://www.blackhawknetwork.com","123.123.123",,4,"TRUE","TRUE",,"Submitted","PrepaidCard","TRUE",,61,75,61,75,,,,,,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1200,"6/9/2011",,,,,,,2,100,250,1,"J",,,,,,,,,,,,,"Improved",3,250,2,150,,"J",,,,
80,"Block Code R","B","1034567812345678","3/5/1990","1034567812345678",11111111121,"Active","TRUE",61,75,"FALSE","FALSE","Brain",,"Dead",6054222220,,,"BrainDead@sio.midco.net",,,"400 Fourth St",,"Sioux Falls","SD",57102,423456789,,,,600,1200,"Rent",600,,"http://www.blackhawknetwork.com","123.123.123",,4,"TRUE","TRUE",,"Submitted","PrepaidCard","TRUE",,61,75,61,75,,,,,,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1200,"6/9/2011",,,,,,,2,100,250,1,,"R",,,,,,,,,,,,"Improved",3,250,2,150,,"R",,,,
81,"Grad Tier 1 to Tier 2 - No DD Inc","B","1234567812345678","1/2/1980","1234567812345678",11111111126,"Active","TRUE",61,75,"FALSE","FALSE","Joe",,"Blow",6051234567,,,"joeblow@sio.midco.net",,,"123 Main St",,"Sioux Falls","SD",57102,123456789,,,,1500,3000,"Rent",1000,,"http://www.blackhawknetwork.com","123.123.123",,1,"TRUE","TRUE",,"Submitted","PrepaidCard","TRUE",,61,75,61,75,,,,,,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1200,"6/9/2011",,,,,,,1,100,250,1,,,,,,,,,,,,,,"Improved",2,250,1,100,,,,,,
82,"Grad Tier 2 to Tier 3 - No DD Inc","B","1234567812345678","1/2/1980","1234567812345678",11111111126,"Active","TRUE",61,75,"FALSE","FALSE","Joe",,"Blow",6051234567,,,"joeblow@sio.midco.net",,,"123 Main St",,"Sioux Falls","SD",57102,123456789,,,,1500,3000,"Rent",1000,,"http://www.blackhawknetwork.com","123.123.123",,1,"TRUE","TRUE",,"Submitted","PrepaidCard","TRUE",,61,75,61,75,,,,,,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1200,"6/9/2011",,,,,,,2,100,250,1,,,,,,,,,,,,,,"Improved",3,250,2,150,,,,,,
83,"Grad Tier 3 to Tier 4 - No DD Inc","B","1234567812345678","1/2/1980","1234567812345678",11111111126,"Active","TRUE",61,75,"FALSE","FALSE","Joe",,"Blow",6051234567,,,"joeblow@sio.midco.net",,,"123 Main St",,"Sioux Falls","SD",57102,123456789,,,,1500,3000,"Rent",1000,,"http://www.blackhawknetwork.com","123.123.123",,1,"TRUE","TRUE",,"Submitted","PrepaidCard","TRUE",,61,75,61,75,,,,,,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,1200,"6/9/2011",,,,,,,3,150,250,2,,,,,,,,,,,,,,"Improved",4,250,3,250,,,,,,
84,"Grad Tier 4 to Tier 5 - No DD Inc","B","1234567812345678","1/2/1980","1234567812345678",11111111126,"Active","TRUE",61,75,"FALSE","FALSE","Joe",,"Blow",6051234567,,,"joeblow@sio.midco.net",,,"123 Main St",,"Sioux Falls","SD",57102,123456789,,,,1500,3000,"Rent",1000,,"http://www.blackhawknetwork.com","123.123.123",,1,"TRUE","TRUE",,"Submitted","PrepaidCard","TRUE",,61,75,61,75,,,,,,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,1200,"6/9/2011",,,,,,,4,250,250,3,,,,,,,,,,,,,,"Improved",5,250,4,350,,,,,,
85,"Grad Tier 5 to Tier 6 - No DD Inc","B","1234567812345678","1/2/1980","1234567812345678",11111111126,"Active","TRUE",61,75,"FALSE","FALSE","Joe",,"Blow",6051234567,,,"joeblow@sio.midco.net",,,"123 Main St",,"Sioux Falls","SD",57102,123456789,,,,1500,3000,"Rent",1000,,"http://www.blackhawknetwork.com","123.123.123",,1,"TRUE","TRUE",,"Submitted","PrepaidCard","TRUE",,61,75,61,75,,,,,,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,1200,"6/9/2011",,,,,,,5,350,250,4,,,,,,,,,,,,,,"Improved",6,250,5,450,,,,,,
86,"Grad Tier 1 to Tier 2 - DD Inc","B","1034567812345678","3/5/1990","1034567812345678",11111111120,"Active","TRUE",61,75,"FALSE","FALSE","Brain",,"Dead",6054222220,,,"BrainDead@sio.midco.net",,,"400 Fourth St",,"Sioux Falls","SD",57102,423456789,,,,600,1200,"Rent",600,,"http://www.blackhawknetwork.com","123.123.123",,4,"TRUE","TRUE",,"Submitted","PrepaidCard","TRUE",,61,75,61,75,,,,,,,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1200,"6/9/2011",,,,,,,1,100,250,1,,,,,,,,,,,,,,"Improved",2,375,1,150,,,,,,
87,"Grad Tier 2 to Tier 3 - DD Inc","B","1034567812345678","3/5/1990","1034567812345678",11111111120,"Active","TRUE",61,75,"FALSE","FALSE","Brain",,"Dead",6054222220,,,"BrainDead@sio.midco.net",,,"400 Fourth St",,"Sioux Falls","SD",57102,423456789,,,,600,1200,"Rent",600,,"http://www.blackhawknetwork.com","123.123.123",,4,"TRUE","TRUE",,"Submitted","PrepaidCard","TRUE",,61,75,61,75,,,,,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1200,"6/9/2011",,,,,,,2,150,375,1,,,,,,,,,,,,,,"Improved",3,500,2,300,,,,,,
88,"Grad Tier 3 to Tier 4 - DD Inc","B","1034567812345678","3/5/1990","1034567812345678",11111111120,"Active","TRUE",61,75,"FALSE","FALSE","Brain",,"Dead",6054222220,,,"BrainDead@sio.midco.net",,,"400 Fourth St",,"Sioux Falls","SD",57102,423456789,,,,600,1200,"Rent",600,,"http://www.blackhawknetwork.com","123.123.123",,4,"TRUE","TRUE",,"Submitted","PrepaidCard","TRUE",,61,75,61,75,,,,,,,640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,1200,"6/9/2011",,,,,,,3,300,500,2,,,,,,,,,,,,,,"Improved",4,625,3,625,,,,,,
89,"Grad Tier 4 to Tier 5 - DD Inc","B","1034567812345678","3/5/1990","1034567812345678",11111111120,"Active","TRUE",61,75,"FALSE","FALSE","Brain",,"Dead",6054222220,,,"BrainDead@sio.midco.net",,,"400 Fourth St",,"Sioux Falls","SD",57102,423456789,,,,600,1200,"Rent",600,,"http://www.blackhawknetwork.com","123.123.123",,4,"TRUE","TRUE",,"Submitted","PrepaidCard","TRUE",,61,75,61,75,,,,,,,751.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,1200,"6/9/2011",,,,,,,4,625,625,3,,,,,,,,,,,,,,"Improved",5,750,4,1050,,,,,,
90,"Grad Tier 5 to Tier 6 - DD Inc","B","1034567812345678","3/5/1990","1034567812345678",11111111120,"Active","TRUE",61,75,"FALSE","FALSE","Brain",,"Dead",6054222220,,,"BrainDead@sio.midco.net",,,"400 Fourth St",,"Sioux Falls","SD",57102,423456789,,,,600,1200,"Rent",600,,"http://www.blackhawknetwork.com","123.123.123",,4,"TRUE","TRUE",,"Submitted","PrepaidCard","TRUE",,61,75,61,75,,,,,,,1249.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,1200,"6/9/2011",,,,,,,5,1050,750,4,,,,,,,,,,,,,,"Improved",6,1000,5,1800,,,,,,
91,"Grad Tier 2 to Tier 4 - No DD Inc","B","1034567812345678","3/5/1990","1034567812345678",11111111120,"Active","TRUE",61,75,"FALSE","FALSE","Brain",,"Dead",6054222220,,,"BrainDead@sio.midco.net",,,"400 Fourth St",,"Sioux Falls","SD",57102,423456789,,,,600,1200,"Rent",600,,"http://www.blackhawknetwork.com","123.123.123",,4,"TRUE","TRUE",,"Submitted","PrepaidCard","TRUE",,61,75,61,75,,,,,,,624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,1200,"6/9/2011",,,,,,,2,200,500,1,,,,,,,,,,,,,,"Improved",4,500,3,500,,,,,,
92,"CLI:  Level 1 to Level 2","B","7234567812345678","5/12/1981","7234567812345678",11111111117,"Active","TRUE",61,75,"FALSE","FALSE","Passed",,"Perfect",6056056050,,,"PassedPerfect@sio.midco.net",,,"000 Nothing St",,"Sioux Falls","SD",57102,723456789,,,,2500,5000,"Rent",600,,"http://www.blackhawknetwork.com","123.123.123",,7,"TRUE","TRUE",,"Submitted","PrepaidCard","TRUE",,61,75,61,75,,,,,,,499.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1760,"6/9/2011",,,,,,,2,100,250,1,,,,,,,,,,,,,,"Increased",2,375,1,150,,,,,,
93,"CLI:  Level 2 to Level 3","B","7234567812345678","5/12/1981","7234567812345678",11111111117,"Active","TRUE",61,75,"FALSE","FALSE","Passed",,"Perfect",6056056050,,,"PassedPerfect@sio.midco.net",,,"000 Nothing St",,"Sioux Falls","SD",57102,723456789,,,,2500,5000,"Rent",600,,"http://www.blackhawknetwork.com","123.123.123",,7,"TRUE","TRUE",,"Submitted","PrepaidCard","TRUE",,61,75,61,75,,,,,,,624.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1760,"6/9/2011",,,,,,,2,150,375,1,,,,,,,,,,,,,,"Increased",2,500,1,200,,,,,,
94,"CLI:  Level 3 to Level 4","B","7234567812345678","5/12/1981","7234567812345678",11111111117,"Active","TRUE",61,75,"FALSE","FALSE","Passed",,"Perfect",6056056050,,,"PassedPerfect@sio.midco.net",,,"000 Nothing St",,"Sioux Falls","SD",57102,723456789,,,,2500,5000,"Rent",600,,"http://www.blackhawknetwork.com","123.123.123",,7,"TRUE","TRUE",,"Submitted","PrepaidCard","TRUE",,61,75,61,75,,,,,,,749.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1760,"6/9/2011",,,,,,,2,200,500,1,,,,,,,,,,,,,,"Increased",2,625,1,250,,,,,,
95,"CLI:  Level 4 to Level 5","B","7234567812345678","5/12/1981","7234567812345678",11111111117,"Active","TRUE",61,75,"FALSE","FALSE","Passed",,"Perfect",6056056050,,,"PassedPerfect@sio.midco.net",,,"000 Nothing St",,"Sioux Falls","SD",57102,723456789,,,,2500,5000,"Rent",600,,"http://www.blackhawknetwork.com","123.123.123",,7,"TRUE","TRUE",,"Submitted","PrepaidCard","TRUE",,61,75,61,75,,,,,,,999.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1760,"6/9/2011",,,,,,,2,250,625,1,,,,,,,,,,,,,,"Increased",2,750,1,300,,,,,,
96,"CLI:  Level 5 to Level 6","B","7234567812345678","5/12/1981","7234567812345678",11111111117,"Active","TRUE",61,75,"FALSE","FALSE","Passed",,"Perfect",6056056050,,,"PassedPerfect@sio.midco.net",,,"000 Nothing St",,"Sioux Falls","SD",57102,723456789,,,,2500,5000,"Rent",600,,"http://www.blackhawknetwork.com","123.123.123",,7,"TRUE","TRUE",,"Submitted","PrepaidCard","TRUE",,61,75,61,75,,,,,,,1249.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1760,"6/9/2011",,,,,,,2,300,750,1,,,,,,,,,,,,,,"Increased",2,1000,1,400,,,,,,
97,"CLI:  Level 6 to Level 7","B","7234567812345678","5/12/1981","7234567812345678",11111111117,"Active","TRUE",61,75,"FALSE","FALSE","Passed",,"Perfect",6056056050,,,"PassedPerfect@sio.midco.net",,,"000 Nothing St",,"Sioux Falls","SD",57102,723456789,,,,2500,5000,"Rent",600,,"http://www.blackhawknetwork.com","123.123.123",,7,"TRUE","TRUE",,"Submitted","PrepaidCard","TRUE",,61,75,61,75,,,,,,,1250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1760,"6/9/2011",,,,,,,2,400,1000,1,,,,,,,,,,,,,,"Increased",2,1250,1,500,,,,,,
98,"CLI:  Level 1 to Level 3","B","7234567812345678","5/12/1981","7234567812345678",11111111117,"Active","TRUE",61,75,"FALSE","FALSE","Passed",,"Perfect",6056056050,,,"PassedPerfect@sio.midco.net",,,"000 Nothing St",,"Sioux Falls","SD",57102,723456789,,,,2500,5000,"Rent",600,,"http://www.blackhawknetwork.com","123.123.123",,7,"TRUE","TRUE",,"Submitted","PrepaidCard","TRUE",,61,75,61,75,,,,,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1760,"6/9/2011",,,,,,,2,100,250,1,,,,,,,,,,,,,,"Increased",2,500,1,200,,,,,,
99,"CLD:  Level 7 to Level 6","B","8234567812345678","5/12/1980","8234567812345678",11111111118,"Active","TRUE",61,75,"FALSE","FALSE","Missed",,"Opp",6056056054,,,"MissedOpp@sio.midco.net",,,"123 More Ave",,"Sioux Falls","SD",57102,823456789,,,,400,800,"Rent",0,,"http://www.blackhawknetwork.com","123.123.123",,8,"TRUE","TRUE",,"Submitted","PrepaidCard","TRUE",,61,75,61,75,,,,,,,1249.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,1760,"6/9/2011",,,,,,,3,750,1250,2,,,,,,,,,,,,,,"Decreased",3,1000,2,600,,,"Reduced DD",,,
100,"CLD:  Level 6 to Level 5","B","8234567812345678","5/12/1980","8234567812345678",11111111118,"Active","TRUE",61,75,"FALSE","FALSE","Missed",,"Opp",6056056054,,,"MissedOpp@sio.midco.net",,,"123 More Ave",,"Sioux Falls","SD",57102,823456789,,,,400,800,"Rent",0,,"http://www.blackhawknetwork.com","123.123.123",,8,"TRUE","TRUE",,"Submitted","PrepaidCard","TRUE",,61,75,61,75,,,,,,,999.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,1760,"6/9/2011",,,,,,,3,600,1000,2,,,,,,,,,,,,,,"Decreased",3,750,2,450,,,"Reduced DD",,,
101,"CLD:  Level 5 to Level 4","B","8234567812345678","5/12/1980","8234567812345678",11111111118,"Active","TRUE",61,75,"FALSE","FALSE","Missed",,"Opp",6056056054,,,"MissedOpp@sio.midco.net",,,"123 More Ave",,"Sioux Falls","SD",57102,823456789,,,,400,800,"Rent",0,,"http://www.blackhawknetwork.com","123.123.123",,8,"TRUE","TRUE",,"Submitted","PrepaidCard","TRUE",,61,75,61,75,,,,,,,749.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,1760,"6/9/2011",,,,,,,3,450,750,2,,,,,,,,,,,,,,"Decreased",3,625,2,375,,,"Reduced DD",,,
102,"CLD:  Level 4 to Level 3","B","8234567812345678","5/12/1980","8234567812345678",11111111118,"Active","TRUE",61,75,"FALSE","FALSE","Missed",,"Opp",6056056054,,,"MissedOpp@sio.midco.net",,,"123 More Ave",,"Sioux Falls","SD",57102,823456789,,,,400,800,"Rent",0,,"http://www.blackhawknetwork.com","123.123.123",,8,"TRUE","TRUE",,"Submitted","PrepaidCard","TRUE",,61,75,61,75,,,,,,,624.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,1760,"6/9/2011",,,,,,,3,375,625,2,,,,,,,,,,,,,,"Decreased",3,500,2,300,,,"Reduced DD",,,
103,"CLD:  Level 3 to Level 2","B","8234567812345678","5/12/1980","8234567812345678",11111111118,"Active","TRUE",61,75,"FALSE","FALSE","Missed",,"Opp",6056056054,,,"MissedOpp@sio.midco.net",,,"123 More Ave",,"Sioux Falls","SD",57102,823456789,,,,400,800,"Rent",0,,"http://www.blackhawknetwork.com","123.123.123",,8,"TRUE","TRUE",,"Submitted","PrepaidCard","TRUE",,61,75,61,75,,,,,,,499.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,1760,"6/9/2011",,,,,,,3,300,500,2,,,,,,,,,,,,,,"Decreased",3,375,2,225,,,"Reduced DD",,,
